Frequenza,Territorio,Indicatore,Sesso,Età,Stato civile,TIME_PERIOD,Osservazione,'Stato dell"'osservazione'
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2019,10273,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2020,10419,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2021,10831,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2022,10358,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2023,10683,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2024,10837,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,28 anni,Totale,2025,10983,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2019,10294,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2020,10914,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2021,10804,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2022,11084,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2023,10974,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2024,11196,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,29 anni,Totale,2025,11085,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2019,10703,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2020,10842,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2021,11253,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2022,10945,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2023,11738,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2024,11394,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,30 anni,Totale,2025,11513,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2019,10911,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2020,11173,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2021,11106,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2022,11435,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2023,11478,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2024,12163,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,31 anni,Totale,2025,11648,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2019,11016,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2020,11268,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2021,11386,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2022,11265,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2023,11861,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2024,11804,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,32 anni,Totale,2025,12417,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2019,11617,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2020,11373,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2021,11366,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2022,11504,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2023,11589,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2024,12191,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,33 anni,Totale,2025,12028,Dato stimato
Annuale,Bologna,Popolazione al 1º gennaio,Totale,34 anni,Totale,2019,11951,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,34 anni,Totale,2020,11894,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,34 anni,Totale,2021,11514,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,34 anni,Totale,2022,11439,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,34 anni,Totale,2023,11699,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,34 anni,Totale,2024,11756,
Annuale,Bologna,Popolazione al 1º gennaio,Totale,34 anni,Totale,2025,12359,Dato stimato
